ID,Score Question 1,Score Question 2,Score Question 3,Score Question 4,Score Question 5,Score Question 6,Score Question 7,Score Question 8,Score Question 9,Score Question 10,Score Question 11,Score Question 12,Score Question 13,Score Question 14,Score Question 15,Score Question 16,Score Question 17,Score Question 18,Score Question 19,Score Question 20,Score Question 21,Score Question 22,Score Question 23,Score Question 24,Score Question 25,Score Question 26,Score Question 27,Score Question 28,Score Question 29,Score Question 30,Score Question 31,Score Question 32,Score Question 33,Score Question 34,Score Question 35,Score Question 36,Score Question 37,Score Question 38,Score Question 39,Score Question 40,Score Question 41,Score Question 42,Score Question 43,Score Question 44,Score Question 45,Score Question 46,Score Question 47,Score Question 48,Score Question 49
Max question score:,1,3,1,2,3,5,5,2,1,1,1,2,1,5,1,5,3,2,3,2,3,3,3,1,3,1,2,2,5,1,2,1,3,3,5,3,1,3,5,1,3,5,3,2,3,5,1,2,1
Student 0001,1,2.2,1,1.3,0.0,4.1,3.8,1.0,1,1,1,1.7,1,2.9,1,4.4,2.1,0.0,2.3,1.6,1.9,1.7,2.4,0,1.6,1,1.7,1.6,4.2,1,1.1,0,2.0,2.3,3.4,1.9,1,1.5,2.9,1,2.4,0.0,2.3,1.7,1.7,4.2,1,1.3,1
Student 0002,1,3,1,1.8,2.9,5,4.9,1.6,1,1,1,1.7,1,4.6,1,5,2.9,2,3,2,3,2.9,2.8,1,2.9,1,1.7,1.8,4.0,1,2,0,2.8,3,4.0,3,1,3,4.5,1,3,5.0,3,2,2.3,4.7,1,1.8,1
Student 0003,1,2.6,1,1.5,2.0,4.8,3.1,1.6,1,1,0,1.3,1,4.7,1,4.0,2.7,1.6,2.9,1.3,2.8,2.3,0.0,1,1.9,1,1.5,1.4,4.0,1,1.5,1,2.2,2.4,3.2,0.0,1,2.8,4.7,1,2.9,4.7,2.6,1.2,2.7,4.7,1,2.0,1
Student 0004,1,2.8,1,1.8,2.2,3.9,3.8,1.7,1,1,1,1.4,1,4.8,1,3.6,1.2,1.7,2.3,2.0,2.3,2.3,2.3,1,2.5,1,1.9,1.6,3.3,1,1.3,1,2.8,2.6,5,2.4,1,2.7,4.6,1,3,3.9,2.2,1.7,3,5,1,2.0,1
Student 0005,1,3,1,2,3,4.4,5,2,1,1,1,2,1,4.5,1,5,3,2,2.4,1.9,3,3,3,1,3.0,1,1.8,1.7,4.7,1,2,1,3,3,5,3,1,3,3.9,1,3,4.4,3,2,3,5,1,2,1
Student 0006,1,1.6,1,2,3,4.8,5.0,1.9,1,1,1,1.5,1,5,1,3.8,3,1.8,2.7,2,2.5,3,2.7,1,2.2,1,1.4,1.9,4.1,1,1.4,1,3.0,0.0,4.0,2.7,1,3,3.8,1,2.0,4.6,2.6,1.7,3,5,1,2,1
Student 0007,1,3,1,2,2.7,3.3,4.0,1.6,1,1,1,1.4,1,4.2,1,4.7,2.4,1.8,2.7,1.6,3,2.1,2.6,1,0.7,1,1.8,1.4,4.8,1,1.7,1,2.9,2.2,3.9,2.6,1,3,4.7,1,2.4,3.6,2.9,1.5,2.8,4.0,1,1.6,1
Student 0008,1,2.8,1,1.5,2.0,3.7,4.9,1.5,1,1,1,1.4,1,3.7,1,4.4,2.4,1.7,2.3,1.6,2.0,2.8,2.5,1,2.6,1,1.9,1.7,4.0,0,1.3,1,1.0,2.2,4.5,2.0,1,2.6,4.8,1,2.9,4.1,1.9,1.9,2.6,4.5,1,1.5,1
Student 0009,1,2.9,1,1.4,2.1,4.0,3.8,1.7,1,1,1,1.8,1,4.8,1,3.6,2.4,1.7,2.3,1.9,3,3,3,1,2.4,1,1.8,1.6,5,1,1.9,1,2.1,3,3.9,2.9,1,2.4,5,1,2.3,3.5,2.5,1.4,2.9,4.7,1,2.0,1
Student 0010,1,1.9,1,1.0,1.7,2.2,3.2,1.5,1,1,0,0.0,1,3.3,1,4.0,1.3,1.0,1.7,1.5,1.4,1.5,2.3,1,2.1,0,1.4,1.5,2.8,1,1.2,1,1.5,2.0,3.5,1.4,0,2.2,3.6,1,2.2,3.8,1.6,1.1,0.0,2.3,1,1.4,0
Student 0011,0,1.7,1,1.4,1.3,2.6,3.3,0.0,1,0,1,0.0,1,0.7,0,2.2,1.9,1.2,1.9,0.9,0.9,1.5,2.0,0,1.7,0,1.3,0.8,2.8,1,0.9,1,2.0,1.8,2.4,1.4,0,1.3,3.0,1,1.6,2.5,2.0,0.8,1.2,3.0,0,1.2,1
Student 0012,0,1.2,0,0.8,0.8,1.9,1.6,0.3,0,0,0,0.7,0,1.0,0,1.7,1.7,0.8,0.6,0.5,0.8,1.2,0.8,0,0.3,0,0.4,0.3,1.7,0,0.4,0,0.4,0.1,1.2,0.1,0,0.7,0.8,0,0.7,1.0,0.6,0.0,1.1,0.3,0,0.1,0
Student 0013,1,2.5,1,0.0,2.6,3.3,2.9,1.8,1,1,0,1.2,1,4.3,1,2.7,0.0,1.2,1.8,1.1,2.1,2.0,2.2,1,1.8,1,1.5,1.7,3.2,1,1.3,1,2.6,2.7,3.3,2.6,1,2.2,3.7,1,2.3,3.7,2.1,1.7,2.5,4.2,1,1.8,0
Student 0014,1,2.9,1,1.8,2.6,4.5,3.3,1.6,1,1,1,2.0,1,4.9,1,3.1,2.9,1.6,2.0,1.7,2.4,2.2,2.0,1,2.1,0,1.7,1.6,3.6,1,1.8,1,2.6,2.5,3.5,2.8,1,2.1,3.8,1,1.9,3.9,2.5,1.6,2.6,3.4,1,1.4,1
Student 0015,0,0.9,0,1.2,2.0,2.6,2.5,0.8,1,1,0,1.2,0,2.6,0,3.1,1.0,1.1,1.6,1.1,1.3,2.0,1.0,1,0.9,0,0.9,1.3,3.3,1,1.0,1,1.1,1.8,1.5,0.9,1,1.1,2.4,0,1.7,3.0,1.1,1.3,2.0,2.4,0,0.6,1
Student 0016,0,0.9,0,0.3,0.3,0.0,0.0,0.1,0,0,0,0.2,0,1.4,0,0.5,0.5,0.2,0.8,0.5,0.0,0.4,0.0,0,0.1,0,0.6,0.0,0.9,0,0.5,0,0.0,0.1,0.6,0.0,0,0.8,0.6,0,0.1,1.3,1.1,0.0,0.1,1.0,0,0.1,0
Student 0017,0,1.1,0,0.6,0.5,2.0,1.5,0.6,0,1,0,0.8,0,2.7,0,5,1.6,0.7,1.5,0.6,1.3,0.8,1.0,0,1.2,1,2,1.0,1.9,0,1.0,1,0.5,0.8,1.2,1.2,0,1.5,1.7,0,0.5,1.0,0.6,0.5,0.6,2.0,0,1.1,0
Student 0018,1,2.4,1,1.4,2.0,0.3,4.2,1.2,1,1,1,1.2,1,3.0,1,4.4,2.6,1.7,2.2,1.8,2.4,1.7,1.5,1,2.6,1,1.4,1.4,3.2,1,1.0,1,2.3,1.8,3.6,1.8,1,2.7,2.5,1,2.2,3.1,2.4,1.4,1.6,3.0,1,1.1,1
Student 0019,1,3,0,1.6,2.9,4.6,3.7,1.7,1,1,1,1.6,1,5,1,5,2.9,1.7,2.5,1.8,3,2.4,3,1,3,1,1.6,1.6,5,0,1.9,1,2.5,2.6,4.1,2.2,1,3,2.4,1,2.7,4.5,2.5,2.0,2.5,4.1,1,1.7,1
Student 0020,1,2.8,1,2,0.5,4.3,5,2,1,1,1,1.6,1,4.2,1,4.7,2.6,1.9,2.7,1.9,2.2,2.3,3,1,2.9,1,1.5,2,5,1,2.0,1,2.6,3,5.0,3,1,2.6,4.2,1,3,3.9,2.2,1.6,2.4,5,1,1.9,1
